// author: Jannik Strötgen
// email:  stroetgen@uni-hd.de
// date:   2011-06-10
// This file contains "duration-numbers words" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "eins" is "1"
// FORMAT: "duration-number-word","normalized-duration-number-word"
"0","0"
"00","0"
"1","1"
"01","1"
"2","2"
"02","2"
"3","3"
"03","3"
"4","4"
"04","4"
"5","5"
"05","5"
"6","6"
"06","6"
"7","7"
"07","7"
"8","8"
"08","8"
"9","9"
"09","9"
"10","10"
"11","11"
"12","12"
"13","13"
"14","14"
"15","15"
"16","16"
"17","17"
"18","18"
"19","19"
"20","20"
"21","21"
"22","22"
"23","23"
"24","24"
"25","25"
"26","26"
"27","27"
"28","28"
"29","29"
"30","30"
"31","31"
// normal numbers
"eins","1"
"zwei","2"
"drei","3"
"vier","4"
"fünf","5"
"sechs","6"
"sie[\–\-\–\-\–]?ben","7"
"acht","8"
"neun","9"
"zehn","10"
"elf","11"
"zwölf","12"
"drei[\–\-\–\-\–]?zehn","13"
"vier[\–\-\–\-\–]?zehn","14"
"fünf[\–\-\–\-\–]?zehn","15"
"sech[\–\-\–\-\–]?zehn","16"
"sieb[\–\-\–\-\–]?zehn","17"
"acht[\–\-\–\-\–]?zehn","18"
"neun[\–\-\–\-\–]?zehn","19"
"zwan[\–\-\–\-\–]?zig","20"
"ein[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","21"
"zwei[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","22"
"drei[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","23"
"vier[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","24"
"fünf[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","25"
"sechs[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","26"
"sie[\–\-\–\-\–]?ben[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","27"
"acht[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","28"
"neun[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","29"
"drei[\–\-\–\-\–]?ßig","30"
"ein[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","31"
"zwei[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","32"
"drei[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","33"
"vier[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","34"
"fünf[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","35"
"sechs[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","36"
"sie[\–\-\–\-\–]?ben[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","37"
"acht[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","38"
"neun[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","39"
"vier[\–\-\–\-\–]?zig","40"
"ein[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","41"
"zwei[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","42"
"drei[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","43"
"vier[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","44"
"fünf[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","45"
"sechs[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","46"
"sie[\–\-\–\-\–]?ben[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","47"
"acht[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","48"
